obs_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,weather
7/1/2015,21.3,17.5,24.9,0,,,15.4,,1016,,warm_windy
7/2/2015,23.2,17.9,28.4,0,,,14.4,,1018.9,,warm_windy
7/3/2015,24,19.2,26.9,0,,,12.5,,1018.7,,warm_breezy
7/4/2015,24.8,18.9,29.2,0,,,10.2,,1018.9,,warm_breezy
7/5/2015,27.2,24.7,29.9,0,,,11.4,,1016.7,,hot_breezy
7/6/2015,26.4,22.5,29.4,0,,,9.9,,1016.1,,hot_breezy
7/7/2015,28.2,22.4,32.4,0,,,9.2,,1015.7,,hot_breezy
7/8/2015,27.2,22.9,29.7,0,,,12.2,,1015,,hot_breezy
7/9/2015,24.3,,,0,,,11,,1015.2,,warm_breezy
7/10/2015,23.2,18.2,31.2,0,,,11,,1018.6,,warm_breezy
7/11/2015,26.3,20.4,34.9,0,,,12.2,,1019.2,,hot_breezy
7/12/2015,25.5,22.4,28,0,,,10.8,,1018.7,,hot_breezy
7/13/2015,25.2,20,29.2,0,,,10.5,,1018.3,,hot_breezy
7/14/2015,25.3,22.4,28.4,0,,,9.4,,1017,,hot_breezy
7/15/2015,27.8,23.4,32.2,0,,,11.7,,1014.6,,hot_breezy
7/16/2015,28.7,24.7,32.2,0,,,9.2,,1013.5,,hot_breezy
7/17/2015,27.1,23.4,30.4,0,,,10,,1014.8,,hot_breezy
7/18/2015,25.8,21,32.4,0,,,19.5,,1017.5,,hot_windy
7/19/2015,25.7,21.9,28.9,0,,,15,,1017.4,,hot_windy
7/20/2015,26.5,21.9,30.5,0,,,10.2,,1015.3,,hot_breezy
7/21/2015,27.2,23.5,30.4,0,,,9.3,,1015.3,,hot_breezy
7/22/2015,29.2,25.2,35.2,0,,,13.4,,1015.8,,hot_breezy
7/23/2015,27.2,22.4,34.9,0,,,13.6,,1015,,hot_breezy
7/24/2015,25.9,22.4,31.7,0,,,21,,1015.5,,hot_stormy
7/25/2015,23.5,18.4,30,0,,,15.8,,1015.2,,warm_windy
7/26/2015,24,21.7,25.9,0,,,8.6,,1015.2,,warm_breezy
7/27/2015,27.8,22.7,31,0,,,10.6,,1014,,hot_breezy
7/28/2015,26.8,22.9,32.4,0,,,9.3,,1012.5,,hot_breezy
7/29/2015,28.6,24.7,37,0,,,14,,1012.7,,hot_windy
7/30/2015,24.5,22.2,28.5,0,,,20.6,,1012.7,,warm_stormy
7/31/2015,22.5,19.7,26.9,0,,,20.8,,1010.7,,warm_stormy
8/1/2015,22.2,18.5,25.4,0,,,12.3,,1012.7,,warm_breezy
8/2/2015,26.5,20.4,31,0,,,9.3,,1013.5,,hot_breezy
8/3/2015,23.3,18.9,26.9,0,,,15.4,,1015.2,,warm_windy
8/4/2015,22.3,18.2,26.7,0,,,13.1,,1016.4,,warm_breezy
8/5/2015,24.1,18.9,28.2,0,,,10,,1014.2,,warm_breezy
8/6/2015,25.3,20.7,29.7,0,,,8.2,,1013.5,,hot_breezy
8/7/2015,28.4,25,34.2,0,,,11.5,,1013.8,,hot_breezy
8/8/2015,26.5,22.5,29.9,0,,,8.8,,1015.6,,hot_breezy
8/9/2015,29,23.5,32.2,0.1,,,13,,1015.6,,hot_light_rain
8/10/2015,25.5,21.4,29.5,0,,,14.8,,1015.6,,hot_windy
8/11/2015,23.4,20.2,26.4,0,,,10.8,,1014.7,,warm_breezy
8/12/2015,24.7,21.5,28.7,0,,,11.5,,1017.9,,warm_breezy
8/13/2015,23.2,17.6,29.2,0,,,17.1,,1021.9,,warm_windy
8/14/2015,21.8,17.5,28.7,0,,,19.8,,1020.2,,warm_windy
8/15/2015,21.9,16.2,29,0,,,19.4,,1017.4,,warm_windy
8/16/2015,21.9,19.2,24,0,,,20.7,,1016,,warm_stormy
8/17/2015,22.6,18.7,25.9,0,,,14.8,,1014,,warm_windy
8/18/2015,22,18.7,24,0,,,8.1,,1013.3,,warm_breezy
8/19/2015,21.5,18.4,24.4,0,,,12.2,,1016,,warm_breezy
8/20/2015,24.9,20.5,30,0,,,10.9,,1018.3,,warm_breezy
8/21/2015,22.1,18.5,25.4,0,,,14.4,,1018.5,,warm_windy
8/22/2015,20.7,17.9,27.2,0,,,11.4,,1016.6,,warm_breezy
8/23/2015,20.4,17.5,22.4,0,,,22,,1016.9,,warm_stormy
8/24/2015,21.2,18.4,24.4,0,,,16.5,,1017.6,,warm_windy
8/25/2015,22.8,20.4,26.2,0,,,12.8,,1018.1,,warm_breezy
8/26/2015,23.2,19.4,26.4,0,,,8.2,,1016.5,,warm_breezy
8/27/2015,24.5,20,28.2,0,,,10.5,,1016.1,,warm_breezy
8/28/2015,25.7,21.6,29.4,0,,,10,,1014.7,,hot_breezy
8/29/2015,26.9,24.9,29.5,0,,,19.8,,1013.8,,hot_windy
