obs_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,weather
7/1/2015,19.9,17.6,23.9,2.3,,,9.8,,,,mild_light_rain
7/2/2015,20.7,16.2,25.8,0,,,12.6,,,,warm_breezy
7/3/2015,21.2,16,25.8,0,,,13.6,,,,warm_breezy
7/4/2015,23.2,19.2,28.5,0,,,14.9,,,,warm_windy
7/5/2015,21.8,17.8,26.9,0,,,21.6,,,,warm_stormy
7/6/2015,22.8,16.9,30.2,0,,,17.8,,,,warm_windy
7/7/2015,23.1,18.4,29.1,0,,,20,,,,warm_stormy
7/8/2015,22.1,17.6,28.2,0,,,22.1,,,,warm_stormy
7/9/2015,21.4,17.2,26.9,0,,,17.2,,,,warm_windy
7/10/2015,20.8,17.8,25.1,0,,,19.9,,,,warm_windy
7/11/2015,21.7,17.8,28,0,,,22.2,,,,warm_stormy
7/12/2015,21.4,17.2,26.2,0,,,23.1,,,,warm_stormy
7/13/2015,22.6,17.2,28.5,0,,,19.6,,,,warm_windy
7/14/2015,23,17.6,30.6,0,,,15.2,,,,warm_windy
7/15/2015,22.9,18.1,31.6,0,,,20.6,,,,warm_stormy
7/16/2015,24.1,18.2,30.8,0,,,19.2,,,,warm_windy
7/17/2015,23.7,20.1,29.5,0,,,18.8,,,,warm_windy
7/18/2015,23.4,19.2,28,0,,,14.1,,,,warm_windy
7/19/2015,23.2,19.8,28.3,0,,,12.9,,,,warm_breezy
7/20/2015,25.8,21.2,29.8,0,,,19.1,,,,hot_windy
7/21/2015,24.6,20.6,29.2,0,,,20.2,,,,warm_stormy
7/22/2015,22.4,20.1,29,0,,,25.9,,,,warm_stormy
7/23/2015,24,19.4,29.3,0,,,22.2,,,,warm_stormy
7/24/2015,22.4,18.8,27.1,0,,,17.9,,,,warm_windy
7/25/2015,21.3,16.9,27.3,0,,,24.8,,,,warm_stormy
7/26/2015,24.2,18.2,29.9,0,,,21.2,,,,warm_stormy
7/27/2015,23.2,19.7,28,0,,,27.2,,,,warm_stormy
7/28/2015,23.3,18.8,28.5,0,,,26,,,,warm_stormy
7/29/2015,24.5,20.1,28.9,0,,,23.5,,,,warm_stormy
7/30/2015,24.1,21.8,28.6,0,,,13.1,,,,warm_breezy
7/31/2015,22.5,18.5,28.2,0,,,17.2,,,,warm_windy
8/1/2015,23.2,18.2,29.6,0,,,17,,,,warm_windy
8/2/2015,24.4,17.6,31.5,0,,,14.6,,,,warm_windy
8/3/2015,25.5,19.5,30,0,,,17,,,,hot_windy
8/4/2015,22.6,17.5,27.9,0,,,16.4,,,,warm_windy
8/5/2015,22.2,16,28.5,0,,,15.7,,,,warm_windy
8/6/2015,23.9,19.6,30.6,0,,,17.4,,,,warm_windy
8/7/2015,21.2,18.7,25.6,0,,,27.2,,,,warm_stormy
8/8/2015,22.7,17,28.7,0,,,20.9,,,,warm_stormy
